,period,forecast,historical_sale,bf,tf,bf_m03,tf_m03,alternate_forecast
0,2018M009,,20530.0,,,,,
1,2018M010,,22930.0,,,,,
2,2018M011,,18140.0,,,,,
3,2018M012,,22000.0,,,,,
4,2019M001,,17660.0,,,,,
5,2019M002,,20250.0,,,,,
6,2019M003,,22160.0,,,,,
7,2019M004,,20520.0,,,,,
8,2019M005,,20480.0,,,,,
9,2019M006,,26610.0,,,,,
10,2019M007,,22950.0,,,,,
11,2019M008,,22990.0,,,,,
12,2019M009,,26640.0,,,,,
13,2019M010,,21450.0,,,,,
14,2019M011,,26200.0,,,,,
15,2019M012,,24220.0,,,,,
16,2020M001,,20880.0,,,,,
17,2020M002,,22180.0,,,,,
18,2020M003,,25370.0,,,,,
19,2020M004,,14130.0,,,,,
20,2020M005,,15650.0,,,,,
21,2020M006,,24800.0,,,,,
22,2020M007,,22380.0,,,,,
23,2020M008,,20610.0,,,,,
24,2020M009,,30910.0,,,,,
25,2020M010,,23580.0,,,,,
26,2020M011,,20490.0,,,,,
27,2020M012,,25050.0,,,,,
28,2021M001,,20050.0,,,,,
29,2021M002,,22100.0,,,,,
30,2021M003,,24640.0,,,,,
31,2021M004,,18990.0,,,,,
32,2021M005,,18910.0,,,,,
33,2021M006,,32110.0,,,,,
34,2021M007,,22270.0,,,,,
35,2021M008,,26.0,,,15,13,
36,2021M009,31,,13.751,15.724,,,31.683
37,2021M010,27,,16,13,,,27
38,2021M011,25,,13,13,,,25
39,2021M012,28,,13,16,,,28
40,2022M001,23,,16,13,,,23
41,2022M002,25,,13,13,,,25
